Rank;#Papers;Name;Acronym;
1;12;null;Empirical Software Engineering;
2;8;null;Information and Software Technology;
3;4;null;ACM Transactions on Software Engineering and Methodology;
4;3;null;IEEE Transactions on Software Engineering;
5;2;null;Journal of Visual Languages and Computing;
6;2;null;Advanced Materials Research;
7;2;null;Software and Systems Modeling;
8;1;null;RISTI - Revista Iberica de Sistemas e Tecnologias de Informacao;
9;1;null;Applied Soft Computing Journal;
10;1;null;Software Quality Journal;
11;1;null;Advances in Intelligent Systems and Computing;
12;1;null;Journal of software: Evolution and Process;
13;1;null;International Journal of Software Engineering and Knowledge Engineering;
14;1;null;MIS Quarterly: Management Information Systems;
15;1;null;Journal of Systems and Software;
16;1;null;Expert Systems with Applications;
